text,phonetic,part_of_speech,definition_en,definition_vi,example_en,example_vi,level
injury,/ˈɪn.dʒər.i/,noun,physical harm done to someone,chấn thương,He recovered from his injury in two weeks.,Anh ấy hồi phục sau chấn thương trong hai tuần.,B1
intelligent,/ɪnˈtel.ɪ.dʒənt/,adjective,having a high ability to learn,thông minh,She is a very intelligent student.,Cô ấy là một học sinh rất thông minh.,B1
interested,/ˈɪn.trɪ.stɪd/,adjective,wanting to know more about something,quan tâm / hứng thú,I am interested in learning piano.,Tôi hứng thú với việc học piano.,B1
issue,/ˈɪʃ.uː/,noun,an important topic or problem,vấn đề / số báo,Environmental pollution is a serious issue.,Ô nhiễm môi trường là một vấn đề nghiêm trọng.,B1
local,/ˈləʊ.kəl/,adjective,relating to a particular area,địa phương,She shops at the local market.,Cô ấy mua sắm ở chợ địa phương.,B1
manage,/ˈmæn.ɪdʒ/,verb,to be in charge of something,quản lý,She manages a team of ten people.,Cô ấy quản lý một nhóm mười người.,B1
method,/ˈmeθ.əd/,noun,a particular way of doing something,phương pháp,This is an effective teaching method.,Đây là một phương pháp giảng dạy hiệu quả.,B1
nature,/ˈneɪ.tʃər/,noun,the physical world including plants and animals,thiên nhiên,She loves spending time in nature.,Cô ấy thích dành thời gian ở thiên nhiên.,B1
necessary,/ˈnes.ə.ser.i/,adjective,needed in order to achieve a result,cần thiết,Is it necessary to wear a uniform?,Mặc đồng phục có cần thiết không?,B1
notice,/ˈnəʊ.tɪs/,verb,to see or become aware of something,chú ý / nhận thấy,Did you notice his new haircut?,Bạn có nhận thấy kiểu tóc mới của anh ấy không?,B1
offer,/ˈɒf.ər/,verb,to present something for someone to accept,đề nghị / cung cấp,She offered to help me move.,Cô ấy đề nghị giúp tôi chuyển nhà.,B1
opinion,/əˈpɪn.jən/,noun,a personal view or belief,ý kiến,In my opinion this plan is great.,Theo tôi kế hoạch này rất tốt.,B1
opportunity,/ˌɒp.əˈtjuː.nɪ.ti/,noun,a time when something can be done,cơ hội,This job is a great opportunity.,Công việc này là một cơ hội tuyệt vời.,B1
organization,/ˌɔː.ɡən.aɪˈzeɪ.ʃən/,noun,a group of people working together,tổ chức,She works for an international organization.,Cô ấy làm việc cho một tổ chức quốc tế.,B1
partner,/ˈpɑː.tnər/,noun,a person who shares in an activity,đối tác / bạn đời,She and her partner opened a business.,Cô ấy và đối tác mở một doanh nghiệp.,B1
patient,/ˈpeɪ.ʃənt/,adjective,able to wait calmly,kiên nhẫn,A good teacher must be patient.,Một giáo viên tốt phải kiên nhẫn.,B1
perform,/pəˈfɔːm/,verb,to do an action or activity,thực hiện,She performed well in the interview.,Cô ấy thực hiện tốt trong buổi phỏng vấn.,B1
period,/ˈpɪər.i.əd/,noun,a length of time,thời kỳ / giai đoạn,The exam covers the period from 1900 to 1950.,Kỳ thi bao gồm giai đoạn từ 1900 đến 1950.,B1
policy,/ˈpɒl.ɪ.si/,noun,a plan or set of rules used by an organization,chính sách,The school has a strict mobile phone policy.,Trường có chính sách nghiêm ngặt về điện thoại di động.,B1
population,/ˌpɒp.jʊˈleɪ.ʃən/,noun,the number of people in a place,dân số,The population of Vietnam is about 98 million.,Dân số Việt Nam khoảng 98 triệu người.,B1
positive,/ˈpɒz.ɪ.tɪv/,adjective,hopeful and confident,tích cực,She has a positive attitude.,Cô ấy có thái độ tích cực.,B1
predict,/prɪˈdɪkt/,verb,to say what you think will happen,dự đoán,Scientists can predict the weather.,Các nhà khoa học có thể dự đoán thời tiết.,B1
prefer,/prɪˈfɜːr/,verb,to like one thing more than another,thích hơn,I prefer tea to coffee.,Tôi thích trà hơn cà phê.,B1
prepare,/prɪˈpeər/,verb,to make something ready for use,chuẩn bị,She prepared food for the party.,Cô ấy chuẩn bị thức ăn cho bữa tiệc.,B1
present,/ˈprez.ənt/,verb,to show or give something to an audience,trình bày,He presented his project to the class.,Anh ấy trình bày dự án của mình trước lớp.,B1
prevent,/prɪˈvent/,verb,to stop something from happening,ngăn chặn,Exercise can prevent many diseases.,Tập thể dục có thể ngăn ngừa nhiều bệnh.,B1
process,/ˈprəʊ.ses/,noun,a series of actions to achieve a result,quy trình,Learning a language is a long process.,Học một ngôn ngữ là một quá trình dài.,B1
professional,/prəˈfeʃ.ən.əl/,adjective,relating to a job needing special training,chuyên nghiệp,She behaves in a very professional way.,Cô ấy hành xử theo cách rất chuyên nghiệp.,B1
progress,/ˈprəʊ.ɡres/,noun,development toward a better state,tiến bộ,She has made great progress in English.,Cô ấy đã có nhiều tiến bộ trong tiếng Anh.,B1
project,/ˈprɒdʒ.ekt/,noun,a planned piece of work,dự án,We are working on a group project.,Chúng tôi đang thực hiện một dự án nhóm.,B1
provide,/prəˈvaɪd/,verb,to give something needed,cung cấp,The school provides free meals.,Trường cung cấp bữa ăn miễn phí.,B1
purpose,/ˈpɜː.pəs/,noun,the reason you do something,mục đích,The purpose of the exercise is to build strength.,Mục đích của bài tập là xây dựng sức mạnh.,B1
quality,/ˈkwɒl.ɪ.ti/,noun,how good or bad something is,chất lượng,The quality of this product is excellent.,Chất lượng của sản phẩm này xuất sắc.,B1
receive,/rɪˈsiːv/,verb,to get something given to you,nhận,She received a letter from her friend.,Cô ấy nhận được thư từ bạn mình.,B1
recently,/ˈriː.sənt.li/,adverb,not long ago,gần đây,She recently moved to a new city.,Cô ấy mới chuyển đến một thành phố mới gần đây.,B1
reduce,/rɪˈdjuːs/,verb,to make something smaller or less,giảm,We should reduce the use of plastic.,Chúng ta nên giảm sử dụng nhựa.,B1
relationship,/rɪˈleɪ.ʃən.ʃɪp/,noun,a connection between people,mối quan hệ,She has a good relationship with her colleagues.,Cô ấy có mối quan hệ tốt với đồng nghiệp.,B1
require,/rɪˈkwaɪər/,verb,to need something,yêu cầu / cần,This job requires good communication skills.,Công việc này yêu cầu kỹ năng giao tiếp tốt.,B1
research,/rɪˈsɜːtʃ/,noun,careful study to find facts,nghiên cứu,She is doing research on climate change.,Cô ấy đang nghiên cứu về biến đổi khí hậu.,B1
resource,/rɪˈzɔːs/,noun,something useful for achieving a purpose,tài nguyên,The internet is a useful resource for learning.,Internet là một tài nguyên hữu ích để học tập.,B1
respect,/rɪˈspekt/,noun,a feeling of admiration for someone,sự tôn trọng,We must respect each other's differences.,Chúng ta phải tôn trọng sự khác biệt của nhau.,B1
responsibility,/rɪˌspɒn.sɪˈbɪl.ɪ.ti/,noun,the duty to deal with something,trách nhiệm,Taking responsibility is a sign of maturity.,Biết nhận trách nhiệm là dấu hiệu của sự trưởng thành.,B1
result,/rɪˈzʌlt/,noun,the consequence of an action,kết quả,The result of the test surprised everyone.,Kết quả bài kiểm tra làm mọi người ngạc nhiên.,B1
review,/rɪˈvjuː/,verb,to look at something again carefully,ôn lại / xem lại,Review your notes before the exam.,Ôn lại ghi chú trước kỳ thi.,B1
serious,/ˈsɪər.i.əs/,adjective,not joking or playful,nghiêm túc,She takes her studies seriously.,Cô ấy học hành rất nghiêm túc.,B1
similar,/ˈsɪm.ɪ.lər/,adjective,almost the same but not exactly,tương tự,These two words have similar meanings.,Hai từ này có nghĩa tương tự nhau.,B1
situation,/ˌsɪtʃ.uˈeɪ.ʃən/,noun,a set of circumstances at a particular time,tình huống,She handled the difficult situation well.,Cô ấy xử lý tình huống khó khăn rất tốt.,B1
skill,/skɪl/,noun,the ability to do something well,kỹ năng,Communication skills are very important.,Kỹ năng giao tiếp rất quan trọng.,B1
society,/səˈsaɪ.ɪ.ti/,noun,a community of people living together,xã hội,Education is important for society.,Giáo dục rất quan trọng đối với xã hội.,B1
solve,/sɒlv/,verb,to find an answer to a problem,giải quyết,She solved the math problem quickly.,Cô ấy giải quyết bài toán nhanh chóng.,B1
source,/sɔːs/,noun,the place something comes from,nguồn gốc / nguồn,The sun is the main source of energy.,Mặt trời là nguồn năng lượng chính.,B1
specific,/spəˈsɪf.ɪk/,adjective,relating to one particular thing,cụ thể,Give me a specific example.,Cho tôi một ví dụ cụ thể.,B1
standard,/ˈstæn.dəd/,noun,a level of quality that is normal,tiêu chuẩn,The school has high academic standards.,Trường có tiêu chuẩn học thuật cao.,B1
suggest,/səˈdʒest/,verb,to put forward an idea for consideration,đề xuất,She suggested going to the cinema.,Cô ấy đề xuất đi xem phim.,B1
support,/səˈpɔːt/,verb,to help someone by encouraging them,hỗ trợ,He supports his family financially.,Anh ấy hỗ trợ tài chính cho gia đình.,B1
surprised,/səˈpraɪzd/,adjective,feeling wonder at something unexpected,ngạc nhiên,She was surprised by the gift.,Cô ấy ngạc nhiên vì món quà.,B1
technology,/tekˈnɒl.ə.dʒi/,noun,the application of scientific knowledge,công nghệ,Technology changes our daily lives.,Công nghệ thay đổi cuộc sống hàng ngày của chúng ta.,B1
therefore,/ˈðeə.fɔːr/,adverb,for that reason,vì vậy,She studied hard therefore she passed.,Cô ấy học chăm chỉ vì vậy cô ấy đã vượt qua.,B1
throughout,/θruːˈaʊt/,preposition,in every part of something,suốt / khắp,They traveled throughout Vietnam.,Họ đi du lịch khắp Việt Nam.,B1
traditional,/trəˈdɪʃ.ən.əl/,adjective,following customs from the past,truyền thống,She cooks traditional Vietnamese food.,Cô ấy nấu ăn truyền thống Việt Nam.,B1
typical,/ˈtɪp.ɪ.kəl/,adjective,having the usual qualities of its kind,điển hình,This is a typical Vietnamese dish.,Đây là một món ăn điển hình của Việt Nam.,B1
unique,/juːˈniːk/,adjective,unlike anything else,độc đáo,Each person has a unique personality.,Mỗi người có tính cách độc đáo riêng.,B1
unless,/ənˈles/,conjunction,except if,trừ khi,Unless you practice you will not improve.,Trừ khi bạn luyện tập bạn sẽ không tiến bộ.,B1
variety,/vəˈraɪ.ɪ.ti/,noun,a number of different things,sự đa dạng,There is a variety of food at the market.,Có rất nhiều loại thực phẩm ở chợ.,B1
whole,/həʊl/,adjective,complete including all parts,toàn bộ,She read the whole book in one day.,Cô ấy đọc toàn bộ cuốn sách trong một ngày.,B1
achieve,/əˈtʃiːv/,verb,to reach a goal through effort,đạt thành công,He worked hard to achieve his dreams.,Anh ấy làm việc chăm chỉ để đạt được ước mơ.,B1
adjust,/əˈdʒʌst/,verb,to change something slightly to make it fit,điều chỉnh,You need to adjust your study schedule.,Bạn cần điều chỉnh lịch học của mình.,B1
analyze,/ˈæn.ə.laɪz/,verb,to examine something in detail,phân tích,She analyzed the data carefully.,Cô ấy phân tích dữ liệu một cách cẩn thận.,B1
appropriate,/əˈprəʊ.pri.ɪt/,adjective,suitable for a particular situation,phù hợp,Wear appropriate clothing for the weather.,Mặc quần áo phù hợp với thời tiết.,B1
assist,/əˈsɪst/,verb,to help someone do something,hỗ trợ / giúp đỡ,She assisted the new students.,Cô ấy hỗ trợ các học sinh mới.,B1
characteristic,/ˌkær.ɪk.təˈrɪs.tɪk/,noun,a feature that makes someone recognizable,đặc điểm,Curiosity is a key characteristic of a good learner.,Sự tò mò là đặc điểm quan trọng của người học tốt.,B1
communicate,/kəˈmjuː.nɪ.keɪt/,verb,to share information with someone,giao tiếp,She communicates well in English.,Cô ấy giao tiếp tốt bằng tiếng Anh.,B1
curious,/ˈkjʊər.i.əs/,adjective,wanting to know or learn about something,tò mò,Children are naturally curious.,Trẻ em vốn tự nhiên rất tò mò.,B1
detail,/ˈdiː.teɪl/,noun,a small piece of information,chi tiết,Pay attention to the details.,Hãy chú ý đến các chi tiết.,B1
effective,/ɪˈfek.tɪv/,adjective,producing the intended result,hiệu quả,This is an effective learning method.,Đây là phương pháp học hiệu quả.,B1
energy,/ˈen.ə.dʒi/,noun,the strength to do physical or mental work,năng lượng,Exercise gives you more energy.,Tập thể dục cho bạn thêm năng lượng.,B1
flexible,/ˈflek.sɪ.bəl/,adjective,able to change to suit new conditions,linh hoạt,She has a flexible work schedule.,Cô ấy có lịch làm việc linh hoạt.,B1
global,/ˈɡləʊ.bəl/,adjective,relating to the whole world,toàn cầu,Climate change is a global problem.,Biến đổi khí hậu là vấn đề toàn cầu.,B1
independence,/ˌɪn.dɪˈpen.dəns/,noun,freedom from control by others,sự độc lập,She values her independence.,Cô ấy coi trọng sự độc lập của mình.,B1
knowledge,/ˈnɒl.ɪdʒ/,noun,information and understanding of a subject,kiến thức,Reading increases your knowledge.,Đọc sách giúp tăng kiến thức của bạn.,B1
majority,/məˈdʒɒr.ɪ.ti/,noun,more than half of a group,đa số,The majority of students passed.,Đa số học sinh đều đậu.,B1
mention,/ˈmen.ʃən/,verb,to briefly talk about something,đề cập,She mentioned she was feeling tired.,Cô ấy đề cập rằng cô ấy cảm thấy mệt.,B1
participate,/pɑːˈtɪs.ɪ.peɪt/,verb,to take part in an activity,tham gia,Everyone is encouraged to participate.,Mọi người được khuyến khích tham gia.,B1
suitable,/ˈsuː.tɪ.bəl/,adjective,right or appropriate for a purpose,thích hợp,Is this book suitable for beginners?,Cuốn sách này có thích hợp cho người mới học không?,B1
volunteer,/ˌvɒl.ənˈtɪər/,noun,a person who does work without being paid,tình nguyện viên,She works as a volunteer at the hospital.,Cô ấy làm tình nguyện viên tại bệnh viện.,B1
